api,category,priority,implemented,tested,action
nppiHistogramRange_16s_C1R,Histogram,P1,no,no,implement
nppiHistogramRange_16s_C1R_Ctx,Histogram,P1,no,no,implement
nppiHistogramRange_16s_C4R,Histogram,P1,no,no,implement
nppiHistogramRange_16s_C4R_Ctx,Histogram,P1,no,no,implement
nppiHistogramRange_16u_C1R,Histogram,P1,no,no,implement
nppiHistogramRange_16u_C1R_Ctx,Histogram,P1,no,no,implement
nppiHistogramRange_16u_C4R,Histogram,P1,no,no,implement
nppiHistogramRange_16u_C4R_Ctx,Histogram,P1,no,no,implement
nppiHistogramRange_32f_C1R,Histogram,P1,yes,yes,done
nppiHistogramRange_32f_C1R_Ctx,Histogram,P1,yes,no,add_test
nppiHistogramRange_32f_C4R,Histogram,P1,no,no,implement
nppiHistogramRange_32f_C4R_Ctx,Histogram,P1,no,no,implement
nppiHistogramRange_8u_C1R,Histogram,P1,yes,yes,done
nppiHistogramRange_8u_C1R_Ctx,Histogram,P1,yes,yes,done
nppiHistogramRange_8u_C4R,Histogram,P1,no,no,implement
nppiHistogramRange_8u_C4R_Ctx,Histogram,P1,no,no,implement
nppiLShiftC_16u_C1R,Logical/Bitwise,P1,yes,yes,done
nppiLShiftC_16u_C1R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiLShiftC_16u_C3R,Logical/Bitwise,P1,no,no,implement
nppiLShiftC_16u_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiLShiftC_16u_C4R,Logical/Bitwise,P1,no,no,implement
nppiLShiftC_16u_C4R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiLShiftC_32s_C1R,Logical/Bitwise,P1,yes,no,add_test
nppiLShiftC_32s_C1R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiLShiftC_32s_C3R,Logical/Bitwise,P1,no,no,implement
nppiLShiftC_32s_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiLShiftC_32s_C4R,Logical/Bitwise,P1,no,no,implement
nppiLShiftC_32s_C4R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiLShiftC_8u_C1R,Logical/Bitwise,P1,yes,yes,done
nppiLShiftC_8u_C1R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiLShiftC_8u_C3R,Logical/Bitwise,P1,no,no,implement
nppiLShiftC_8u_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiLShiftC_8u_C4R,Logical/Bitwise,P1,no,no,implement
nppiLShiftC_8u_C4R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiMagnitudeSqr_32fc32f_C1R,Arithmetic/Magnitude,P1,yes,no,add_test
nppiMagnitudeSqr_32fc32f_C1R_Ctx,Arithmetic/Magnitude,P1,yes,no,add_test
nppiMagnitude_32fc32f_C1R,Arithmetic/Magnitude,P1,yes,yes,done
nppiMagnitude_32fc32f_C1R_Ctx,Arithmetic/Magnitude,P1,yes,no,add_test
nppiMeanStdDevGetBufferHostSize_32f_C1MR,Statistics,P1,yes,yes,done
nppiMeanStdDevGetBufferHostSize_32f_C1MR_Ctx,Statistics,P1,yes,yes,done
nppiMeanStdDevGetBufferHostSize_32f_C1R,Statistics,P1,yes,yes,done
nppiMeanStdDevGetBufferHostSize_32f_C1R_Ctx,Statistics,P1,yes,yes,done
nppiMeanStdDevGetBufferHostSize_8u_C1MR,Statistics,P1,yes,yes,done
nppiMeanStdDevGetBufferHostSize_8u_C1MR_Ctx,Statistics,P1,yes,yes,done
nppiMeanStdDevGetBufferHostSize_8u_C1R,Statistics,P1,yes,yes,done
nppiMeanStdDevGetBufferHostSize_8u_C1R_Ctx,Statistics,P1,yes,yes,done
nppiMean_StdDev_32f_C1MR,Statistics,P1,yes,yes,done
nppiMean_StdDev_32f_C1MR_Ctx,Statistics,P1,yes,yes,done
nppiMean_StdDev_32f_C1R,Statistics,P1,yes,yes,done
nppiMean_StdDev_32f_C1R_Ctx,Statistics,P1,yes,yes,done
nppiMean_StdDev_8u_C1MR,Statistics,P1,yes,yes,done
nppiMean_StdDev_8u_C1MR_Ctx,Statistics,P1,yes,yes,done
nppiMean_StdDev_8u_C1R,Statistics,P1,yes,yes,done
nppiMean_StdDev_8u_C1R_Ctx,Statistics,P1,yes,yes,done
nppiMirror_16u_C1IR,Geometry/Mirror,P1,no,no,implement
nppiMirror_16u_C1IR_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_16u_C1R,Geometry/Mirror,P1,no,no,implement
nppiMirror_16u_C1R_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_16u_C3IR,Geometry/Mirror,P1,no,no,implement
nppiMirror_16u_C3IR_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_16u_C3R,Geometry/Mirror,P1,no,no,implement
nppiMirror_16u_C3R_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_16u_C4IR,Geometry/Mirror,P1,no,no,implement
nppiMirror_16u_C4IR_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_16u_C4R,Geometry/Mirror,P1,no,no,implement
nppiMirror_16u_C4R_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_32f_C1IR,Geometry/Mirror,P1,no,no,implement
nppiMirror_32f_C1IR_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_32f_C1R,Geometry/Mirror,P1,no,no,implement
nppiMirror_32f_C1R_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_32f_C3IR,Geometry/Mirror,P1,no,no,implement
nppiMirror_32f_C3IR_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_32f_C3R,Geometry/Mirror,P1,no,no,implement
nppiMirror_32f_C3R_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_32f_C4IR,Geometry/Mirror,P1,no,no,implement
nppiMirror_32f_C4IR_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_32f_C4R,Geometry/Mirror,P1,no,no,implement
nppiMirror_32f_C4R_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_32s_C1IR,Geometry/Mirror,P1,no,no,implement
nppiMirror_32s_C1IR_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_32s_C1R,Geometry/Mirror,P1,no,no,implement
nppiMirror_32s_C1R_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_32s_C3IR,Geometry/Mirror,P1,no,no,implement
nppiMirror_32s_C3IR_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_32s_C3R,Geometry/Mirror,P1,no,no,implement
nppiMirror_32s_C3R_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_32s_C4IR,Geometry/Mirror,P1,no,no,implement
nppiMirror_32s_C4IR_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_32s_C4R,Geometry/Mirror,P1,no,no,implement
nppiMirror_32s_C4R_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_8u_C1IR,Geometry/Mirror,P1,no,no,implement
nppiMirror_8u_C1IR_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_8u_C1R,Geometry/Mirror,P1,yes,yes,done
nppiMirror_8u_C1R_Ctx,Geometry/Mirror,P1,yes,no,add_test
nppiMirror_8u_C3IR,Geometry/Mirror,P1,no,no,implement
nppiMirror_8u_C3IR_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_8u_C3R,Geometry/Mirror,P1,no,no,implement
nppiMirror_8u_C3R_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_8u_C4IR,Geometry/Mirror,P1,no,no,implement
nppiMirror_8u_C4IR_Ctx,Geometry/Mirror,P1,no,no,implement
nppiMirror_8u_C4R,Geometry/Mirror,P1,no,no,implement
