function_name,module,implemented,impl_file,tested,test_file
nppiAbs_16f_C3R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16f_C3R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16f_C4IR,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16f_C4IR_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16f_C4R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16f_C4R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_AC4IR,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_AC4IR_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_AC4R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_AC4R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_C1IR,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_C1IR_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_C1R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_C1R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_C3IR,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_C3IR_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_C3R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_C3R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_C4IR,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_C4IR_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_C4R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_16s_C4R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_32f_AC4IR,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_32f_AC4IR_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_32f_AC4R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_32f_AC4R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
nppiAbs_32f_C1IR,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_abs.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_abs.cpp
